height,weight,chest,waist,hips,shoulders,arm_length,fabric,dress_type,stitching_cost
155,44,109,63,86,49,61,Silk,Saree,1041
166,66,92,90,93,48,55,Organza,Short Kurtis,1031
165,75,97,74,107,37,51,Velvet,Frock,1025
161,54,96,79,85,40,46,Velvet,Short Kurtis,1005
175,79,107,93,78,46,65,Silk,Short Kurtis,1068
156,45,73,80,79,37,59,Polyster,Saree,892
173,44,89,71,102,44,62,Polyster,Frock,914
166,54,109,60,89,35,54,Polyster,Short Kurtis,901
166,63,78,77,80,50,46,Velvet,Punjabi Suits,1019
145,49,78,75,87,42,49,Silk,Punjabi Suits,979
165,50,79,71,81,42,47,Polyster,Punjabi Suits,888
174,62,91,93,108,49,50,Velvet,Saree,1115
153,50,104,61,103,43,65,Silk,Skirt,1063
143,71,109,91,103,43,56,Polyster,Frock,951
166,74,83,100,102,36,61,Lenin,Punjabi Suits,1019
158,79,82,71,95,37,63,Cotton,Short Kurtis,914
141,41,92,88,91,43,62,Velvet,Short Kurtis,1032
160,57,74,88,81,37,58,Lenin,Saree,944
180,79,94,90,78,48,48,Cotton,Frock,925
176,67,91,65,76,42,55,Polyster,Frock,865
162,50,82,68,110,36,57,Silk,Short Kurtis,996
166,61,93,72,93,43,54,Organza,Saree,1025
145,70,87,67,104,38,65,Polyster,Tunics,941
164,48,86,61,95,47,48,Velvet,Short Kurtis,992
153,77,78,86,81,39,60,Velvet,Skirt,1043
166,62,76,73,96,41,51,Cotton,Tunics,928
160,56,109,82,86,36,61,Polyster,Tunics,967
173,73,89,73,78,48,54,Lenin,Skirt,974
148,48,82,90,110,47,47,Velvet,Punjabi Suits,1069
143,43,103,60,95,43,48,Silk,Frock,953
155,79,78,78,82,45,45,Cotton,Saree,911
175,76,96,85,87,50,52,Silk,Punjabi Suits,1069
178,42,110,77,89,47,54,Silk,Punjabi Suits,1071
144,55,84,94,91,41,59,Organza,Skirt,1038
179,55,85,88,86,42,50,Silk,Frock,987
141,50,72,82,87,36,65,Polyster,Frock,853
151,76,76,76,83,36,60,Lenin,Saree,932
178,58,93,77,77,45,63,Velvet,Punjabi Suits,1063
179,54,104,70,92,50,46,Silk,Punjabi Suits,1053
151,63,106,78,110,46,55,Polyster,Short Kurtis,964
153,56,94,97,85,47,53,Silk,Punjabi Suits,1055
156,59,107,90,105,39,59,Organza,Saree,1084
173,76,102,86,85,41,60,Velvet,Frock,1043
173,69,87,94,85,45,59,Silk,Punjabi Suits,1065
165,48,101,87,88,35,52,Polyster,Saree,952
143,54,87,97,79,46,63,Cotton,Short Kurtis,931
160,60,83,78,93,43,63,Organza,Punjabi Suits,1028
174,65,78,76,101,40,57,Silk,Short Kurtis,1008
164,46,101,75,94,43,55,Organza,Punjabi Suits,1038
162,44,100,81,92,44,50,Lenin,Saree,985
179,63,103,63,101,49,63,Polyster,Punjabi Suits,991
148,66,88,96,84,43,64,Polyster,Skirt,973
176,58,108,73,79,35,62,Velvet,Frock,1014
157,71,75,66,94,35,58,Velvet,Punjabi Suits,1011
160,67,101,95,79,39,57,Polyster,Tunics,966
151,76,102,87,78,49,51,Cotton,Skirt,976
161,50,78,90,85,41,48,Organza,Punjabi Suits,998
164,61,110,61,80,40,65,Velvet,Saree,1055
171,55,87,83,78,39,47,Cotton,Punjabi Suits,925
154,68,97,82,107,41,51,Organza,Tunics,1052
158,49,101,75,103,47,50,Polyster,Saree,967
153,54,78,73,108,46,50,Cotton,Short Kurtis,913
176,76,79,95,76,48,64,Cotton,Punjabi Suits,977
168,46,109,65,76,49,56,Polyster,Saree,942
169,65,104,88,79,45,58,Lenin,Tunics,1007
172,75,104,61,82,36,45,Cotton,Frock,873
144,64,93,95,85,36,45,Cotton,Short Kurtis,908
147,65,76,66,86,46,50,Velvet,Skirt,1005
163,64,93,96,92,47,54,Lenin,Frock,964
169,78,110,94,83,35,65,Silk,Frock,1040
170,43,96,79,82,47,54,Velvet,Tunics,1057
149,50,108,80,82,50,49,Cotton,Saree,960
174,63,92,99,89,41,64,Organza,Frock,1026
160,41,109,93,94,37,46,Lenin,Short Kurtis,970
143,53,72,85,103,39,55,Silk,Frock,964
164,42,88,72,106,35,61,Silk,Saree,1038
149,50,96,72,87,50,62,Velvet,Saree,1057
162,56,103,86,86,46,58,Polyster,Skirt,986
157,80,91,98,98,43,53,Velvet,Short Kurtis,1066
163,78,87,63,80,36,60,Organza,Punjabi Suits,984
167,79,81,64,81,46,48,Lenin,Short Kurtis,898
157,63,86,88,95,49,58,Silk,Punjabi Suits,1060
178,62,79,84,107,50,47,Organza,Skirt,1062
158,65,94,92,104,38,49,Organza,Punjabi Suits,1053
172,59,102,82,90,39,62,Silk,Frock,1019
179,58,82,99,102,46,63,Velvet,Skirt,1129
169,65,78,92,75,38,52,Lenin,Punjabi Suits,948
176,47,97,97,80,47,50,Organza,Saree,1052
170,78,81,84,106,43,64,Lenin,Punjabi Suits,1017
149,66,80,88,106,47,46,Lenin,Punjabi Suits,982
162,59,97,92,109,47,45,Organza,Saree,1074
178,56,88,80,100,38,48,Cotton,Frock,911
142,64,108,93,87,38,47,Silk,Skirt,1055
162,54,73,99,86,45,61,Polyster,Punjabi Suits,953
140,50,78,99,81,44,62,Silk,Tunics,1026
140,71,99,91,86,44,65,Lenin,Tunics,1003
149,40,103,69,110,47,48,Silk,Short Kurtis,1019
174,65,101,92,77,38,55,Organza,Frock,994
143,41,93,78,100,42,55,Lenin,Skirt,981
151,46,87,84,82,44,48,Cotton,Saree,924
172,57,109,88,80,38,61,Silk,Punjabi Suits,1070
175,49,105,75,110,42,58,Silk,Frock,1040
145,70,88,85,87,40,56,Polyster,Skirt,943
159,53,96,62,102,43,58,Silk,Frock,986
144,58,86,99,81,49,55,Silk,Punjabi Suits,1040
147,64,80,91,103,49,56,Silk,Punjabi Suits,1057
177,65,102,87,91,36,57,Velvet,Skirt,1101
170,79,74,86,85,46,51,Organza,Short Kurtis,984
146,40,84,62,97,45,65,Polyster,Tunics,921
146,44,107,90,107,48,52,Silk,Saree,1088
168,63,102,75,84,48,63,Velvet,Punjabi Suits,1082
158,75,81,63,78,35,57,Polyster,Tunics,882
154,67,87,81,77,42,60,Cotton,Frock,886
167,75,91,78,100,36,50,Lenin,Punjabi Suits,980
171,70,75,82,93,38,56,Velvet,Punjabi Suits,1045
168,40,88,71,98,46,55,Lenin,Short Kurtis,945
148,59,94,63,99,43,45,Velvet,Saree,1024
173,48,97,61,99,38,47,Organza,Tunics,1007
150,73,82,98,97,38,64,Polyster,Skirt,982
163,51,71,69,79,47,53,Silk,Punjabi Suits,976
144,53,85,78,110,41,49,Organza,Frock,968
158,53,106,82,84,36,62,Silk,Frock,999
180,52,75,99,80,42,49,Cotton,Short Kurtis,918
141,66,91,63,90,41,48,Organza,Short Kurtis,945
140,78,90,61,83,44,64,Velvet,Short Kurtis,991
148,75,84,76,75,36,57,Polyster,Skirt,905
164,76,85,71,98,48,59,Lenin,Punjabi Suits,987
146,59,108,60,109,46,63,Lenin,Saree,1006
176,66,98,69,100,41,63,Cotton,Punjabi Suits,988
147,80,78,81,87,44,48,Velvet,Tunics,1021
153,71,105,88,84,40,50,Lenin,Short Kurtis,956
154,73,85,60,97,35,50,Velvet,Skirt,1017
141,55,102,69,76,46,52,Organza,Short Kurtis,959
170,54,105,85,88,48,64,Organza,Punjabi Suits,1078
162,68,79,78,75,35,48,Silk,Punjabi Suits,974
141,42,96,67,84,39,54,Organza,Skirt,988
166,52,91,82,102,46,56,Velvet,Punjabi Suits,1085
179,68,106,69,83,45,60,Lenin,Tunics,999
155,41,105,71,80,44,50,Velvet,Short Kurtis,1003
147,47,94,92,91,35,52,Polyster,Frock,890
172,62,88,84,83,43,64,Lenin,Saree,990
179,50,77,80,104,38,61,Silk,Skirt,1059
178,53,90,93,97,45,59,Polyster,Tunics,995
162,71,73,77,82,44,65,Silk,Tunics,1014
141,63,72,87,102,40,54,Lenin,Frock,907
173,79,106,80,102,38,57,Lenin,Short Kurtis,997
159,57,97,99,102,50,58,Cotton,Skirt,1035
175,60,72,78,80,40,51,Lenin,Tunics,930
177,43,76,99,109,37,48,Lenin,Skirt,1009
164,70,98,75,101,40,49,Polyster,Short Kurtis,928
146,72,79,91,83,40,64,Polyster,Tunics,936
161,43,102,68,109,48,63,Cotton,Frock,948
151,67,93,89,108,48,64,Cotton,Short Kurtis,986
159,46,103,62,101,44,52,Silk,Short Kurtis,1006
163,72,98,71,76,49,57,Cotton,Tunics,950
176,76,103,76,99,50,46,Polyster,Skirt,995
147,55,83,75,109,48,54,Organza,Saree,1030
155,77,101,83,85,43,45,Cotton,Tunics,954
140,48,100,80,97,39,54,Lenin,Skirt,984
176,52,78,69,93,45,60,Lenin,Tunics,965
178,47,106,80,93,41,55,Organza,Frock,1010
146,60,70,93,91,42,51,Lenin,Skirt,958
165,54,94,66,96,42,55,Cotton,Short Kurtis,919
